Производитель,Модель,Цена,Цена без скидки,Скидка,Процессор,Дискретная видеокарта,Встроенная видеокарта,Оперативная память,SSD,HDD,Экран,Операционная система,Ссылка
Dell,G515-6217,65999,0,0,Intel Core i5-10500Н 6x2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 2933 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Linux,https://www.dns-shop.ru/product/a3141d7748ebed20/156-noutbuk-dell-g515-6217-seryj/characteristics/
Lenovo,IdeaPad Gaming 3 15IMH05,69999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce GTX 1650 Ti 4 ГБ,Intel UHD Graphics 630,8 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 60 Гц",без ОС,https://www.dns-shop.ru/product/0da7ed7b02051b80/156-noutbuk-lenovo-ideapad-gaming-3-15imh05-sinij/characteristics/
Acer,Aspire 7 A715-75G-52NW,72999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 2666 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 60 Гц",без ОС,https://www.dns-shop.ru/product/d03beb88d2fe2ff2/156-noutbuk-acer-aspire-7-a715-75g-52nw-cernyj/characteristics/
MSI,GF76 Katana 11SC-483XRU,77999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/10668f1a19f2ed20/173-noutbuk-msi-gf76-katana-11sc-483xru-cernyj/characteristics/
MSI,GF63 Thin 11UC-255XRU,79999,84999,6,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/da2d8c75e07fed20/156-noutbuk-msi-gf63-thin-11uc-255xru-cernyj/characteristics/
HP,Victus 16-e0119ur,79999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,AMD Radeon Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/b9378b0c7f07ed20/161-noutbuk-hp-victus-16-e0119ur-seryj/characteristics/
Acer,Nitro 5 AN517-52-55V9,79999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics 630,8 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 120 Гц",без ОС,https://www.dns-shop.ru/product/e2ce92d8d2fe2ff2/173-noutbuk-acer-nitro-5-an517-52-55v9-cernyj/characteristics/
Dream Machines,RG3050Ti-15RU20,80999,89999,10,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 144 Гц",без ОС,https://www.dns-shop.ru/product/a0413ed011d0ed20/156-noutbuk-dream-machines-rg3050ti-15ru20-cernyj/characteristics/
ASUS,TUF Gaming F15 FX506LH-HN236,81999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,16 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/77e3c4c2e2f5ed20/156-noutbuk-asus-tuf-gaming-f15-fx506lh-hn236-cernyj/characteristics/
ASUS,VivoBook Pro 15 K3500PH-L1136W,82999,0,0,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel Iris Xe Graphics,8 ГБ DDR4 3200 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" OLED 60 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/75741ba70f7bed20/156-noutbuk-asus-vivobook-pro-15-k3500ph-l1136w-serebristyj/characteristics/
Acer,Aspire 7 A715-42G-R4GR,82999,0,0,AMD Ryzen 5 5500U 6x2.1 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/3f75ab84d2ff2ff2/156-noutbuk-acer-aspire-7-a715-42g-r4gr-cernyj/characteristics/
Dell,Inspiron 15 Plus 7510,82999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 60 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/fb9336237ccbed20/156-noutbuk-dell-inspiron-15-plus-7510-serebristyj/characteristics/
HP,VICTUS 16-e0093ur,83999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/11992084d6782ff4/161-noutbuk-hp-victus-16-e0093ur-seryj/characteristics/
Dell,G515-9901,84999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,AMD Radeon Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/c88dd5af48f8ed20/156-noutbuk-dell-g515-9901-seryj/characteristics/
MSI,GF63 Thin 11UD-254XRU,84999,91999,8,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/5b4a8132e07fed20/156-noutbuk-msi-gf63-thin-11ud-254xru-cernyj/characteristics/
HP,Pavilion Gaming 17-cd2043ur,84999,0,0,Intel Core i5-11300H 4x2.6 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/ad9996290f6eed20/173-noutbuk-hp-pavilion-gaming-17-cd2043ur-cernyj/characteristics/
ASUS,TUF Dash F15 FX516PC-HN558,85999,0,0,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,Intel Iris Xe Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/a69ce60e0ee4ed20/156-noutbuk-asus-tuf-dash-f15-fx516pc-hn558-seryj/characteristics/
Dell,G15 5510 G515-5392,86399,95999,10,Intel Core i5-11300H 4x3.1 ГГц,NVIDIA GeForce GTX 1660 Ti 6 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 144 Гц",Linux,https://www.dns-shop.ru/product/144d32ca45c8ed20/156-noutbuk-dell-g15-5510-g515-5392-cernyj/characteristics/
Dell,G515-6217,65999,0,0,Intel Core i5-10500Н 6x2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 2933 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" WVA (TN+film) 120 Гц",Linux,https://www.dns-shop.ru/product/a3141d7748ebed20/156-noutbuk-dell-g515-6217-seryj/characteristics/
Lenovo,IdeaPad Gaming 3 15IMH05,69999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce GTX 1650 Ti 4 ГБ,Intel UHD Graphics 630,8 ГБ DDR4 2933 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 60 Гц",без ОС,https://www.dns-shop.ru/product/0da7ed7b02051b80/156-noutbuk-lenovo-ideapad-gaming-3-15imh05-sinij/characteristics/
Acer,Aspire 7 A715-75G-52NW,72999,0,0,Intel Core i5-10300H 4x2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 2666 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 60 Гц",без ОС,https://www.dns-shop.ru/product/d03beb88d2fe2ff2/156-noutbuk-acer-aspire-7-a715-75g-52nw-cernyj/characteristics/
MSI,GF76 Katana 11SC-483XRU,77999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,256 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/10668f1a19f2ed20/173-noutbuk-msi-gf76-katana-11sc-483xru-cernyj/characteristics/
